season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,136800,Christian Clemens,0,1.0,1.0,15.0,12.0,0.0,0.0
2016-17,174618,Christian Günter,0,0.0,2.0,31.0,30.0,0.0,0.0
2016-17,186390,Christian Mathenia,0,0.0,0.0,14.0,14.0,0.0,0.0
2016-17,205940,Christian Ortag,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,225607,Christian Pulisic,0,3.0,6.0,29.0,15.0,0.0,0.0
2016-17,102324,Christian Träsch,0,0.0,1.0,11.0,7.0,0.0,0.0
2016-17,69165,Christofer Heimeroth,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,41786,Christoph Janker,0,0.0,0.0,15.0,12.0,0.0,0.0
2016-17,160055,Christoph Kramer,0,0.0,4.0,24.0,23.0,0.0,0.0
2016-17,12682,Claudio Pizarro,0,1.0,1.0,19.0,10.0,0.0,0.0
2016-17,29951,Clemens Fritz,0,0.0,3.0,18.0,17.0,0.0,0.0
2016-17,125758,Coke,0,1.0,0.0,8.0,7.0,0.0,0.0
2016-17,102335,Daniel Baier,0,1.0,3.0,27.0,27.0,0.0,0.0
2016-17,112984,Daniel Brosinski,0,1.0,2.0,29.0,27.0,0.0,0.0
2016-17,142404,Daniel Caligiuri,0,4.0,4.0,32.0,27.0,0.0,0.0
2016-17,131468,Daniel Didavi,0,4.0,2.0,18.0,11.0,0.0,0.0
2016-17,180162,Daniel Heuer Fernandes,0,0.0,0.0,7.0,6.0,0.0,0.0
2016-17,242584,Daniel Thur,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,189538,Danilo Soares,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,148917,Danny Blum,0,1.0,1.0,14.0,3.0,0.0,0.0
2016-17,121011,Danny Latza,0,4.0,0.0,21.0,18.0,0.0,0.0
2016-17,154603,Danny da Costa,0,0.0,1.0,3.0,1.0,0.0,0.0
2016-17,155983,Darío Lezcano,0,6.0,3.0,33.0,27.0,0.0,0.0
2016-17,42904,David Abraham,0,1.0,2.0,30.0,30.0,0.0,0.0
2016-17,118444,David Alaba,0,4.0,4.0,32.0,29.0,0.0,0.0
2016-17,196032,Davie Selke,0,4.0,1.0,21.0,2.0,0.0,0.0
2016-17,222793,Dayot Upamecano,0,0.0,0.0,12.0,8.0,0.0,0.0
2016-17,256716,Deji-Ousman Beyreuther,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,45924,Dennis Aogo,0,0.0,1.0,7.0,3.0,0.0,0.0
2016-17,121008,Dennis Diekmeier,0,0.0,1.0,24.0,21.0,0.0,0.0
2016-17,221466,Dennis Geiger,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,148494,Denys Oliynyk,0,1.0,0.0,4.0,0.0,0.0,0.0
2016-17,114898,Diego Benaglio,0,0.0,0.0,14.0,14.0,0.0,0.0
2016-17,154407,Diego Demme,0,1.0,3.0,32.0,32.0,0.0,0.0
2016-17,222446,Djibril Sow,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,128684,Dominic Maroh,0,0.0,0.0,12.0,8.0,0.0,0.0
2016-17,208246,Dominik Franke,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,151535,Dominik Kaiser,0,1.0,0.0,25.0,7.0,0.0,0.0
2016-17,172997,Dominik Kohr,0,2.0,0.0,26.0,21.0,0.0,0.0
2016-17,84792,Dominik Stroh-Engel,0,0.0,0.0,4.0,0.0,0.0,0.0
2016-17,167683,Dominique Heintz,0,0.0,0.0,32.0,30.0,0.0,0.0
2016-17,194046,Donis Avdijaj,0,2.0,0.0,9.0,2.0,0.0,0.0
2016-17,127502,Douglas Costa,0,4.0,3.0,23.0,14.0,0.0,0.0
2016-17,186575,Douglas Santos,0,0.0,0.0,20.0,19.0,0.0,0.0
2016-17,222974,Dren Feka,0,0.0,0.0,0.0,0.0,0.0,0.0
