season,player_code,player_name,goals,assists,minutes,starts,xg,xa
2016-17,49579,Pedro Rodríguez Ledesma,9,10,2140,0.0,0.0,0.0
2016-17,110504,Bertrand Traore,0,0,0,0.0,0.0,0.0
2016-17,49013,Victor Moses,3,3,2485,0.0,0.0,0.0
2016-17,82660,Marco Van Ginkel,0,0,0,0.0,0.0,0.0
2016-17,167767,Robert Kenedy Nunes do Nascimento,0,0,90,0.0,0.0,0.0
2016-17,116594,N'Golo Kanté,1,1,3138,0.0,0.0,0.0
2016-17,94245,Michy Batshuayi,5,1,254,0.0,0.0,0.0
2016-17,18507,Diego Da Silva Costa,20,11,3083,0.0,0.0,0.0
2016-17,38419,Loïc Remy,0,0,134,0.0,0.0,0.0
2016-17,11554,Julian Speroni,0,0,0,0.0,0.0,0.0
2016-17,20066,Wayne Hennessey,0,0,2610,0.0,0.0,0.0
2016-17,58376,Alex McCarthy,0,0,0,0.0,0.0,0.0
2016-17,44413,Steve Mandanda,0,0,810,0.0,0.0,0.0
2016-17,49413,James Tomkins,3,0,1974,0.0,0.0,0.0
2016-17,19188,Scott Dann,3,1,1752,0.0,0.0,0.0
2016-17,55494,Joel Ward,0,1,3417,0.0,0.0,0.0
2016-17,58786,Martin Kelly,0,2,2124,0.0,0.0,0.0
2016-17,7906,Damien Delaney,0,2,2014,0.0,0.0,0.0
2016-17,79228,Pape Souaré,0,0,270,0.0,0.0,0.0
2016-17,55452,Yannick Bolasie,1,4,1048,0.0,0.0,0.0
2016-17,19197,Jason Puncheon,0,6,3093,0.0,0.0,0.0
2016-17,82403,Wilfried Zaha,7,11,3019,0.0,0.0,0.0
2016-17,59115,Mile Jedinak,0,0,90,0.0,0.0,0.0
2016-17,18805,Joe Ledley,1,1,1160,0.0,0.0,0.0
2016-17,50471,James McArthur,5,3,1999,0.0,0.0,0.0
2016-17,49438,Jordon Mutch,0,0,53,0.0,0.0,0.0
2016-17,103100,Jonathan Williams,0,0,0,0.0,0.0,0.0
2016-17,75773,Chung-yong Lee,0,1,471,0.0,0.0,0.0
2016-17,27341,Yohan Cabaye,4,4,2125,0.0,0.0,0.0
2016-17,44343,Bakary Sako,0,0,142,0.0,0.0,0.0
2016-17,60252,Andros Townsend,3,7,2520,0.0,0.0,0.0
2016-17,28541,Fraizer Campbell,1,0,165,0.0,0.0,0.0
2016-17,59125,Connor Wickham,2,0,412,0.0,0.0,0.0
2016-17,78315,Joel Robles,0,1,1737,0.0,0.0,0.0
2016-17,10318,Maarten Stekelenburg,0,0,1683,0.0,0.0,0.0
2016-17,12745,Leighton Baines,2,5,2819,0.0,0.0,0.0
2016-17,59949,Seamus Coleman,4,4,2316,0.0,0.0,0.0
2016-17,7645,Phil Jagielka,3,3,2251,0.0,0.0,0.0
2016-17,97299,John Stones,0,0,2014,0.0,0.0,0.0
2016-17,108824,Brendan Galloway,0,0,247,0.0,0.0,0.0
2016-17,149468,Tyias Browning,0,0,0,0.0,0.0,0.0
2016-17,114093,Matthew Pennington,1,0,180,0.0,0.0,0.0
2016-17,121221,Ramiro Funes Mori,0,1,1543,0.0,0.0,0.0
2016-17,26901,Kevin Mirallas,4,8,2074,0.0,0.0,0.0
2016-17,88894,Ross Barkley,5,11,2900,0.0,0.0,0.0
2016-17,43250,Tom Cleverley,0,3,1848,0.0,0.0,0.0
2016-17,50472,James McCarthy,1,1,613,0.0,0.0,0.0
