HomeTeam,AwayTeam,FTHG,FTAG,FTR
Derby,Leicester,2,0,H
Leeds,Aston Villa,0,0,D
Liverpool,Charlton,3,3,D
Middlesbrough,Everton,2,2,D
Nott'm Forest,West Ham,0,0,D
Southampton,Tottenham,1,1,D
Wimbledon,Sheffield Weds,2,1,H
Arsenal,Man United,3,0,H
Blackburn,Chelsea,3,4,A
Man United,Liverpool,2,0,H
Aston Villa,Derby,1,0,H
Charlton,Coventry,1,1,D
Chelsea,Middlesbrough,2,0,H
Everton,Blackburn,0,0,D
Newcastle,Nott'm Forest,2,0,H
Sheffield Weds,Arsenal,1,0,H
Tottenham,Leeds,3,3,D
Leicester,Wimbledon,1,1,D
West Ham,Southampton,1,0,H
Blackburn,West Ham,3,0,H
Coventry,Aston Villa,1,2,A
Derby,Tottenham,0,1,A
Leeds,Leicester,0,1,A
Middlesbrough,Sheffield Weds,4,0,H
Nott'm Forest,Charlton,0,1,A
Southampton,Man United,0,3,A
Wimbledon,Everton,1,2,A
Arsenal,Newcastle,3,0,H
Liverpool,Chelsea,1,1,D
Arsenal,Southampton,1,1,D
Chelsea,Charlton,2,1,H
Everton,Liverpool,0,0,D
Man United,Wimbledon,5,1,H
Middlesbrough,Blackburn,2,1,H
Newcastle,Derby,2,1,H
Nott'm Forest,Leeds,1,1,D
West Ham,Aston Villa,0,0,D
Coventry,Sheffield Weds,1,0,H
Leicester,Tottenham,2,1,H
Aston Villa,Leicester,1,1,D
Charlton,West Ham,4,2,H
Derby,Man United,1,1,D
Liverpool,Nott'm Forest,5,1,H
Sheffield Weds,Everton,0,0,D
Southampton,Coventry,2,1,H
Tottenham,Newcastle,2,0,H
Wimbledon,Middlesbrough,2,2,D
Blackburn,Arsenal,1,2,A
Leeds,Chelsea,0,0,D
Coventry,Arsenal,0,1,A
Derby,Leeds,2,2,D
Everton,Man United,1,4,A
Leicester,Liverpool,1,0,H
Newcastle,West Ham,0,3,A
Sheffield Weds,Southampton,0,0,D
Wimbledon,Blackburn,1,1,D
Middlesbrough,Nott'm Forest,1,1,D
Tottenham,Charlton,2,2,D
Aston Villa,Tottenham,3,2,H
Blackburn,Coventry,1,2,A
Charlton,Leicester,0,0,D
Liverpool,Derby,1,2,A
Nott'm Forest,Wimbledon,0,1,A
Southampton,Middlesbrough,3,3,D
Arsenal,Everton,1,0,H
Leeds,Sheffield Weds,2,1,H
Man United,Newcastle,0,0,D
West Ham,Chelsea,1,1,D
Arsenal,Tottenham,0,0,D
Charlton,Middlesbrough,1,1,D
Chelsea,Wimbledon,3,0,H
Liverpool,Leeds,1,3,A
Man United,Blackburn,3,2,H
Newcastle,Sheffield Weds,1,1,D
Southampton,Aston Villa,1,4,A
West Ham,Leicester,3,2,H
Coventry,Everton,3,0,H
Nott'm Forest,Derby,2,2,D
Aston Villa,Liverpool,2,4,A
Blackburn,Southampton,0,2,A
Leeds,Charlton,4,1,H
Leicester,Chelsea,2,4,A
Middlesbrough,Coventry,2,0,H
Sheffield Weds,Man United,3,1,H
Tottenham,Nott'm Forest,2,0,H
Wimbledon,Arsenal,1,0,H
Derby,West Ham,0,2,A
Everton,Newcastle,1,0,H
Charlton,Everton,1,2,A
Chelsea,Sheffield Weds,1,1,D
Coventry,Leicester,1,1,D
Newcastle,Wimbledon,3,1,H
Nott'm Forest,Aston Villa,2,2,D
Southampton,Derby,0,1,A
West Ham,Tottenham,2,1,H
Arsenal,Middlesbrough,1,1,D
Liverpool,Blackburn,2,0,H
Man United,Leeds,3,2,H
Aston Villa,Man United,1,1,D
Blackburn,Charlton,1,0,H
Derby,Arsenal,0,0,D
Everton,Chelsea,0,0,D
Leeds,West Ham,4,0,H
Leicester,Southampton,2,0,H
Tottenham,Liverpool,2,1,H
Wimbledon,Coventry,2,1,H
Middlesbrough,Newcastle,2,2,D
Sheffield Weds,Nott'm Forest,3,2,H
Chelsea,Aston Villa,2,1,H
Blackburn,Newcastle,0,0,D
Derby,Chelsea,2,2,D
Everton,Southampton,1,0,H
Leicester,Nott'm Forest,3,1,H
Middlesbrough,West Ham,1,0,H
Sheffield Weds,Charlton,3,0,H
Tottenham,Man United,2,2,D
Aston Villa,Arsenal,3,2,H
Wimbledon,Liverpool,1,0,H
Leeds,Coventry,2,0,H
Man United,Chelsea,1,1,D
Chelsea,Tottenham,2,0,H
Coventry,Derby,1,1,D
Liverpool,Sheffield Weds,2,0,H
Man United,Middlesbrough,2,3,A
Newcastle,Leicester,1,0,H
Nott'm Forest,Blackburn,2,2,D
Southampton,Wimbledon,3,1,H
West Ham,Everton,2,1,H
Arsenal,Leeds,3,1,H
Charlton,Aston Villa,0,1,A
Arsenal,West Ham,1,0,H
Blackburn,Aston Villa,2,1,H
Coventry,Tottenham,1,1,D
Everton,Derby,0,0,D
Man United,Nott'm Forest,3,0,H
Middlesbrough,Liverpool,1,3,A
Newcastle,Leeds,0,3,A
Sheffield Weds,Leicester,0,1,A
Southampton,Chelsea,0,2,A
Wimbledon,Charlton,2,1,H
Aston Villa,Sheffield Weds,2,1,H
Charlton,Arsenal,0,1,A
Derby,Middlesbrough,2,1,H
Leicester,Blackburn,1,1,D
Liverpool,Newcastle,4,2,H
Nott'm Forest,Southampton,1,1,D
Tottenham,Everton,4,1,H
West Ham,Coventry,2,0,H
Chelsea,Man United,0,0,D
Leeds,Wimbledon,2,2,D
Arsenal,Liverpool,0,0,D
Blackburn,Leeds,1,0,H
Coventry,Nott'm Forest,4,0,H
Everton,Leicester,0,0,D
Middlesbrough,Aston Villa,0,0,D
Newcastle,Chelsea,0,1,A
Sheffield Weds,Tottenham,0,0,D
Southampton,Charlton,3,1,H
Wimbledon,Derby,2,1,H
Man United,West Ham,4,1,H
Chelsea,Coventry,2,1,H
Derby,Blackburn,1,0,H
Leeds,Middlesbrough,2,0,H
Leicester,Man United,2,6,A
Liverpool,Southampton,7,1,H
Nott'm Forest,Arsenal,0,1,A
Tottenham,Wimbledon,0,0,D
West Ham,Sheffield Weds,0,4,A
Charlton,Newcastle,2,2,D
Aston Villa,Everton,3,0,H
Blackburn,Tottenham,1,1,D
Coventry,Liverpool,2,1,H
Everton,Nott'm Forest,0,1,A
Middlesbrough,Leicester,0,0,D
Newcastle,Aston Villa,2,1,H
Sheffield Weds,Derby,0,1,A
Southampton,Leeds,3,0,H
Wimbledon,West Ham,0,0,D
Arsenal,Chelsea,1,0,H
Charlton,Man United,0,1,A
Man United,Derby,1,0,H
Aston Villa,Blackburn,1,3,A
Chelsea,Southampton,1,0,H
Leeds,Newcastle,0,1,A
Leicester,Sheffield Weds,0,2,A
Liverpool,Middlesbrough,3,1,H
Nott'm Forest,Man United,1,8,A
Tottenham,Coventry,0,0,D
West Ham,Arsenal,0,4,A
Derby,Everton,2,1,H
Charlton,Wimbledon,2,0,H
Charlton,Liverpool,1,0,H
West Ham,Nott'm Forest,2,1,H
Aston Villa,Leeds,1,2,A
Chelsea,Blackburn,1,1,D
Everton,Middlesbrough,5,0,H
Man United,Arsenal,1,1,D
Newcastle,Coventry,4,1,H
Arsenal,Leicester,5,0,H
Blackburn,Sheffield Weds,1,4,A
Coventry,Man United,0,1,A
Derby,Charlton,0,2,A
Leeds,Everton,1,0,H
Liverpool,West Ham,2,2,D
Middlesbrough,Tottenham,0,0,D
Nott'm Forest,Chelsea,1,3,A
Southampton,Newcastle,2,1,H
Wimbledon,Aston Villa,0,0,D
Aston Villa,Coventry,1,4,A
Charlton,Nott'm Forest,0,0,D
Chelsea,Liverpool,2,1,H
Everton,Wimbledon,1,1,D
Man United,Southampton,2,1,H
Sheffield Weds,Middlesbrough,3,1,H
Tottenham,Derby,1,1,D
West Ham,Blackburn,2,0,H
Newcastle,Arsenal,1,1,D
Leicester,Leeds,1,2,A
Tottenham,Southampton,3,0,H
Sheffield Weds,Wimbledon,1,2,A
Coventry,Charlton,2,1,H
Southampton,West Ham,1,0,H
Wimbledon,Leicester,0,1,A
Arsenal,Sheffield Weds,3,0,H
Blackburn,Everton,1,2,A
Derby,Aston Villa,2,1,H
Leeds,Tottenham,2,0,H
Nott'm Forest,Newcastle,1,2,A
Chelsea,West Ham,0,1,A
Coventry,Blackburn,1,1,D
Derby,Liverpool,3,2,H
Everton,Arsenal,0,2,A
Leicester,Charlton,1,1,D
Newcastle,Man United,1,2,A
Sheffield Weds,Leeds,0,2,A
Tottenham,Aston Villa,1,0,H
Wimbledon,Nott'm Forest,1,3,A
Middlesbrough,Southampton,3,0,H
Arsenal,Coventry,2,0,H
Blackburn,Wimbledon,3,1,H
Leeds,Derby,4,1,H
Nott'm Forest,Middlesbrough,1,2,A
Southampton,Sheffield Weds,1,0,H
West Ham,Newcastle,2,0,H
Aston Villa,Chelsea,0,3,A
Man United,Everton,3,1,H
Aston Villa,West Ham,0,0,D
Blackburn,Middlesbrough,0,0,D
Charlton,Chelsea,0,1,A
Derby,Newcastle,3,4,A
Leeds,Nott'm Forest,3,1,H
Liverpool,Everton,3,2,H
Sheffield Weds,Coventry,1,2,A
Southampton,Arsenal,0,0,D
Tottenham,Leicester,0,2,A
Wimbledon,Man United,1,1,D
Coventry,Southampton,1,0,H
Everton,Sheffield Weds,1,2,A
Middlesbrough,Wimbledon,3,1,H
Newcastle,Tottenham,1,1,D
Nott'm Forest,Liverpool,2,2,D
West Ham,Charlton,0,1,A
Arsenal,Blackburn,1,0,H
Leicester,Aston Villa,2,2,D
Aston Villa,Southampton,3,0,H
Derby,Nott'm Forest,1,0,H
Leicester,West Ham,0,0,D
Middlesbrough,Charlton,2,0,H
Everton,Coventry,2,0,H
Wimbledon,Chelsea,1,2,A
Leeds,Liverpool,0,0,D
Middlesbrough,Chelsea,0,0,D
Charlton,Leeds,1,1,D
Coventry,Middlesbrough,1,2,A
Liverpool,Aston Villa,0,1,A
Man United,Sheffield Weds,3,0,H
Newcastle,Everton,1,3,A
Nott'm Forest,Tottenham,0,1,A
Southampton,Blackburn,3,3,D
West Ham,Derby,5,1,H
Chelsea,Leicester,2,2,D
Arsenal,Wimbledon,5,1,H
Charlton,Tottenham,1,4,A
Liverpool,Leicester,0,1,A
Sheffield Weds,Newcastle,1,1,D
Aston Villa,Nott'm Forest,2,0,H
Blackburn,Liverpool,1,3,A
Derby,Southampton,0,0,D
Everton,Charlton,4,1,H
Leicester,Coventry,1,0,H
Middlesbrough,Arsenal,1,6,A
Tottenham,West Ham,1,2,A
Wimbledon,Newcastle,1,1,D
Leeds,Man United,1,1,D
Sheffield Weds,Chelsea,0,0,D
Charlton,Blackburn,0,0,D
Chelsea,Everton,3,1,H
Coventry,Wimbledon,2,1,H
Liverpool,Tottenham,3,2,H
Man United,Aston Villa,2,1,H
Newcastle,Middlesbrough,1,1,D
Nott'm Forest,Sheffield Weds,2,0,H
Southampton,Leicester,2,1,H
West Ham,Leeds,1,5,A
Arsenal,Derby,1,0,H
Chelsea,Leeds,1,0,H
Leicester,Derby,1,2,A
Liverpool,Man United,2,2,D
Tottenham,Arsenal,1,3,A
Aston Villa,Charlton,3,4,A
Blackburn,Nott'm Forest,1,2,A
Derby,Coventry,0,0,D
Everton,West Ham,6,0,H
Leicester,Newcastle,2,0,H
Sheffield Weds,Liverpool,1,0,H
Wimbledon,Southampton,0,2,A
Middlesbrough,Man United,0,1,A
Tottenham,Chelsea,2,2,D
Leeds,Arsenal,1,0,H
Blackburn,Man United,0,0,D
Arsenal,Aston Villa,1,0,H
Charlton,Sheffield Weds,0,1,A
Chelsea,Derby,2,1,H
Coventry,Leeds,2,2,D
Liverpool,Wimbledon,3,0,H
Man United,Tottenham,2,1,H
Newcastle,Blackburn,1,1,D
Nott'm Forest,Leicester,1,0,H
Southampton,Everton,2,0,H
West Ham,Middlesbrough,4,0,H
Arsenal,Leicester,2,1,H
Chelsea,Sunderland,4,0,H
Coventry,Southampton,0,1,A
Leeds,Derby,0,0,D
Middlesbrough,Bradford,0,1,A
Newcastle,Aston Villa,0,1,A
Sheffield Weds,Liverpool,1,2,A
Watford,Wimbledon,2,3,A
West Ham,Tottenham,1,0,H
Everton,Man United,1,1,D
Tottenham,Newcastle,3,1,H
Derby,Arsenal,1,2,A
Sunderland,Watford,2,0,H
Wimbledon,Middlesbrough,2,3,A
Aston Villa,Everton,3,0,H
Leicester,Coventry,1,0,H
Man United,Sheffield Weds,4,0,H
Southampton,Leeds,0,3,A
Bradford,Sheffield Weds,1,1,D
Derby,Middlesbrough,1,3,A
Leicester,Chelsea,2,2,D
Liverpool,Watford,0,1,A
Man United,Leeds,2,0,H
Sunderland,Arsenal,0,0,D
Tottenham,Everton,3,2,H
Wimbledon,Coventry,1,1,D
Southampton,Newcastle,4,2,H
Aston Villa,West Ham,2,2,D
Chelsea,Aston Villa,1,0,H
Coventry,Derby,2,0,H
Everton,Southampton,4,1,H
Leeds,Sunderland,2,1,H
Middlesbrough,Liverpool,1,0,H
Newcastle,Wimbledon,3,3,D
Sheffield Weds,Tottenham,1,2,A
Watford,Bradford,1,0,H
West Ham,Leicester,2,1,H
Arsenal,Man United,1,2,A
Leeds,Liverpool,1,2,A
Middlesbrough,Leicester,0,3,A
Watford,Aston Villa,0,1,A
Arsenal,Bradford,2,0,H
Coventry,Man United,1,2,A
Everton,Wimbledon,4,0,H
Newcastle,Sunderland,1,2,A
Sheffield Weds,Derby,0,2,A
Aston Villa,Middlesbrough,1,0,H
Bradford,West Ham,0,3,A
Derby,Everton,1,0,H
Liverpool,Arsenal,2,0,H
Southampton,Sheffield Weds,2,0,H
Tottenham,Leeds,1,2,A
Wimbledon,Chelsea,0,1,A
Sunderland,Coventry,1,1,D
Leicester,Watford,1,0,H
Man United,Newcastle,5,1,H
Arsenal,Aston Villa,3,1,H
Chelsea,Newcastle,1,0,H
Coventry,Leeds,3,4,A
Liverpool,Man United,2,3,A
Middlesbrough,Southampton,3,2,H
Sheffield Weds,Everton,0,2,A
Sunderland,Leicester,2,0,H
West Ham,Watford,1,0,H
Wimbledon,Derby,2,2,D
Bradford,Tottenham,1,1,D
Aston Villa,Bradford,1,0,H
Derby,Sunderland,0,5,A
Leicester,Liverpool,2,2,D
Man United,Wimbledon,1,1,D
Southampton,Arsenal,0,1,A
Watford,Chelsea,1,0,H
Everton,West Ham,1,0,H
Leeds,Middlesbrough,2,0,H
Newcastle,Sheffield Weds,8,0,H
Tottenham,Coventry,3,2,H
Arsenal,Watford,1,0,H
Coventry,West Ham,1,0,H
Derby,Bradford,0,1,A
Leeds,Newcastle,3,2,H
Leicester,Aston Villa,3,1,H
Man United,Southampton,3,3,D
Middlesbrough,Chelsea,0,1,A
Sunderland,Sheffield Weds,1,0,H
Wimbledon,Tottenham,1,1,D
Liverpool,Everton,0,1,A
Aston Villa,Liverpool,0,0,D
Bradford,Sunderland,0,4,A
Everton,Coventry,1,1,D
Sheffield Weds,Wimbledon,5,1,H
Chelsea,Man United,5,0,H
Newcastle,Middlesbrough,2,1,H
Tottenham,Leicester,2,3,A
Watford,Leeds,1,2,A
West Ham,Arsenal,2,1,H
Southampton,Derby,3,3,D
Arsenal,Everton,4,1,H
Coventry,Newcastle,4,1,H
Derby,Tottenham,0,1,A
Leeds,Sheffield Weds,2,0,H
Leicester,Southampton,2,1,H
Liverpool,Chelsea,1,0,H
Man United,Watford,4,1,H
Wimbledon,Bradford,3,2,H
Middlesbrough,West Ham,2,0,H
Sunderland,Aston Villa,2,1,H
Aston Villa,Wimbledon,1,1,D
Bradford,Leicester,3,1,H
Chelsea,Arsenal,2,3,A
Sheffield Weds,Coventry,0,0,D
Southampton,Liverpool,1,1,D
Tottenham,Man United,3,1,H
Everton,Leeds,4,4,D
Watford,Middlesbrough,1,3,A
West Ham,Sunderland,1,1,D
Newcastle,Derby,2,0,H
Liverpool,West Ham,1,0,H
Arsenal,Newcastle,0,0,D
Derby,Chelsea,3,1,H
Leeds,West Ham,1,0,H
Leicester,Sheffield Weds,3,0,H
Man United,Aston Villa,3,0,H
Middlesbrough,Everton,2,1,H
Wimbledon,Southampton,1,1,D
Coventry,Watford,4,0,H
Sunderland,Tottenham,2,1,H
Liverpool,Bradford,3,1,H
Aston Villa,Southampton,0,1,A
Bradford,Coventry,1,1,D
Liverpool,Derby,2,0,H
Man United,Leicester,2,0,H
Middlesbrough,Sunderland,1,1,D
Sheffield Weds,Watford,2,2,D
Chelsea,West Ham,0,0,D
Newcastle,Everton,1,1,D
Tottenham,Arsenal,2,1,H
Wimbledon,Leeds,2,0,H
Arsenal,Middlesbrough,5,1,H
Derby,Man United,1,2,A
Everton,Chelsea,1,1,D
Leeds,Bradford,2,1,H
Leicester,Wimbledon,2,1,H
Southampton,Tottenham,0,1,A
Sunderland,Liverpool,0,2,A
Watford,Newcastle,1,1,D
West Ham,Sheffield Weds,4,3,H
Coventry,Aston Villa,2,1,H
Coventry,Leicester,0,1,A
Everton,Aston Villa,0,0,D
Middlesbrough,Wimbledon,0,0,D
Watford,Sunderland,2,3,A
West Ham,Liverpool,1,0,H
Arsenal,Derby,2,1,H
Chelsea,Bradford,1,0,H
Leeds,Southampton,1,0,H
Newcastle,Tottenham,2,1,H
Aston Villa,Newcastle,0,1,A
Bradford,Middlesbrough,1,1,D
Leicester,Arsenal,0,3,A
Man United,Everton,5,1,H
Southampton,Coventry,0,0,D
Sunderland,Chelsea,4,1,H
Wimbledon,Watford,5,0,H
Derby,Leeds,0,1,A
Liverpool,Sheffield Weds,4,1,H
Tottenham,West Ham,0,0,D
Arsenal,Wimbledon,1,1,D
Aston Villa,Sheffield Weds,2,1,H
Bradford,Newcastle,2,0,H
Leicester,Derby,0,1,A
Liverpool,Coventry,2,0,H
Middlesbrough,Tottenham,2,1,H
Sunderland,Southampton,2,0,H
Watford,Everton,1,3,A
West Ham,Man United,2,4,A
Chelsea,Leeds,0,2,A
Coventry,Arsenal,3,2,H
Derby,Aston Villa,0,2,A
Everton,Sunderland,5,0,H
Leeds,Leicester,2,1,H
Man United,Bradford,4,0,H
Newcastle,Liverpool,2,2,D
Sheffield Weds,Middlesbrough,1,0,H
Southampton,Chelsea,1,2,A
Tottenham,Watford,4,0,H
Wimbledon,West Ham,2,2,D
Arsenal,Leeds,2,0,H
Bradford,Everton,0,0,D
Leicester,Newcastle,1,2,A
Liverpool,Wimbledon,3,1,H
Sunderland,Man United,2,2,D
Watford,Southampton,3,2,H
West Ham,Derby,1,1,D
Aston Villa,Tottenham,1,1,D
Chelsea,Sheffield Weds,3,0,H
Derby,Watford,2,0,H
Everton,Leicester,2,2,D
Leeds,Aston Villa,1,2,A
Newcastle,West Ham,2,2,D
Sheffield Weds,Arsenal,1,1,D
Southampton,Bradford,1,0,H
Tottenham,Liverpool,1,0,H
Wimbledon,Sunderland,1,0,H
Coventry,Chelsea,2,2,D
Bradford,Chelsea,1,1,D
Chelsea,Tottenham,1,0,H
Arsenal,Sunderland,4,1,H
Chelsea,Leicester,1,1,D
Coventry,Wimbledon,2,0,H
Everton,Tottenham,2,2,D
Middlesbrough,Derby,1,4,A
Sheffield Weds,Bradford,2,0,H
Watford,Liverpool,2,3,A
West Ham,Aston Villa,1,1,D
Newcastle,Southampton,5,0,H
Aston Villa,Chelsea,0,0,D
Bradford,Watford,3,2,H
Derby,Coventry,0,0,D
Leicester,West Ham,1,3,A
Liverpool,Middlesbrough,0,0,D
Southampton,Everton,2,0,H
Tottenham,Sheffield Weds,0,1,A
Wimbledon,Newcastle,2,0,H
Sunderland,Leeds,1,2,A
Man United,Arsenal,1,1,D
Man United,Middlesbrough,1,0,H
Sheffield Weds,Man United,0,1,A
Aston Villa,Watford,4,0,H
Bradford,Arsenal,2,1,H
Derby,Sheffield Weds,3,3,D
Leicester,Middlesbrough,2,1,H
Liverpool,Leeds,3,1,H
Man United,Coventry,3,2,H
Southampton,West Ham,2,1,H
Sunderland,Newcastle,2,2,D
Tottenham,Chelsea,0,1,A
Wimbledon,Everton,0,3,A
Chelsea,Wimbledon,3,1,H
Coventry,Sunderland,3,2,H
Everton,Derby,2,1,H
Leeds,Tottenham,1,0,H
Newcastle,Man United,3,0,H
Sheffield Weds,Southampton,0,1,A
Watford,Leicester,1,1,D
West Ham,Bradford,5,4,H
Arsenal,Liverpool,0,1,A
Middlesbrough,Aston Villa,0,4,A
Middlesbrough,Coventry,2,0,H
Leeds,Man United,0,1,A
Arsenal,Southampton,3,1,H
Bradford,Aston Villa,1,1,D
Chelsea,Watford,2,1,H
Coventry,Tottenham,0,1,A
Middlesbrough,Leeds,0,0,D
Sheffield Weds,Newcastle,0,2,A
Sunderland,Derby,1,1,D
West Ham,Everton,0,4,A
Wimbledon,Man United,2,2,D
Derby,Wimbledon,4,0,H
Everton,Sheffield Weds,1,1,D
Man United,Liverpool,1,1,D
Newcastle,Chelsea,0,1,A
Southampton,Middlesbrough,1,1,D
Tottenham,Bradford,1,1,D
Watford,West Ham,1,2,A
Aston Villa,Arsenal,1,1,D
Leeds,Coventry,3,0,H
Leicester,Sunderland,5,2,H
West Ham,Southampton,2,0,H
Aston Villa,Coventry,1,0,H
Chelsea,Everton,1,1,D
Liverpool,Sunderland,1,1,D
Man United,Derby,3,1,H
Newcastle,Watford,1,0,H
Sheffield Weds,West Ham,3,1,H
Tottenham,Southampton,7,2,H
Wimbledon,Leicester,2,1,H
Bradford,Leeds,1,2,A
Middlesbrough,Arsenal,2,1,H
Coventry,Everton,1,0,H
Liverpool,Aston Villa,0,0,D
Coventry,Bradford,4,0,H
Derby,Liverpool,0,2,A
Leicester,Man United,0,2,A
Southampton,Aston Villa,2,0,H
Sunderland,Middlesbrough,1,1,D
Watford,Sheffield Weds,1,0,H
West Ham,Chelsea,0,0,D
Arsenal,Tottenham,2,1,H
Everton,Newcastle,0,2,A
Leeds,Wimbledon,4,1,H
Aston Villa,Derby,2,0,H
Bradford,Man United,0,4,A
Chelsea,Southampton,1,1,D
Liverpool,Newcastle,2,1,H
Middlesbrough,Sheffield Weds,1,0,H
Sunderland,Everton,2,1,H
Watford,Tottenham,1,1,D
Arsenal,Coventry,3,0,H
Leicester,Leeds,2,1,H
West Ham,Wimbledon,2,1,H
Coventry,Liverpool,0,3,A
Everton,Watford,4,2,H
Leeds,Chelsea,0,1,A
Man United,West Ham,7,1,H
Newcastle,Bradford,2,0,H
Southampton,Sunderland,1,2,A
Wimbledon,Arsenal,1,3,A
Derby,Leicester,3,0,H
Tottenham,Middlesbrough,2,3,A
Sheffield Weds,Aston Villa,0,1,A
Bradford,Southampton,1,2,A
Leicester,Everton,1,1,D
Sunderland,Wimbledon,2,1,H
Watford,Derby,0,0,D
Aston Villa,Leeds,1,0,H
Liverpool,Tottenham,2,0,H
Middlesbrough,Man United,3,4,A
Chelsea,Coventry,2,1,H
West Ham,Newcastle,2,1,H
Wimbledon,Sheffield Weds,0,2,A
Coventry,Middlesbrough,2,1,H
Derby,West Ham,1,2,A
Everton,Bradford,4,0,H
Man United,Sunderland,4,0,H
Newcastle,Leicester,0,2,A
Sheffield Weds,Chelsea,1,0,H
Southampton,Watford,2,0,H
Tottenham,Aston Villa,2,4,A
Leeds,Arsenal,0,4,A
Wimbledon,Liverpool,1,2,A
Leicester,Tottenham,0,1,A
Bradford,Derby,4,4,D
Everton,Liverpool,0,0,D
Aston Villa,Leicester,2,2,D
Chelsea,Middlesbrough,1,1,D
Sheffield Weds,Sunderland,0,2,A
Southampton,Man United,1,3,A
Tottenham,Wimbledon,2,0,H
West Ham,Coventry,5,0,H
Newcastle,Leeds,2,2,D
Watford,Arsenal,2,3,A
Derby,Southampton,2,0,H
Man United,Chelsea,3,2,H
Sunderland,Bradford,0,1,A
Aston Villa,Sunderland,1,1,D
Chelsea,Liverpool,2,0,H
Everton,Arsenal,0,1,A
Newcastle,Coventry,2,0,H
Southampton,Leicester,1,2,A
Tottenham,Derby,1,1,D
Watford,Man United,2,3,A
West Ham,Middlesbrough,0,1,A
Bradford,Wimbledon,3,0,H
Sheffield Weds,Leeds,0,3,A
Arsenal,West Ham,2,1,H
Middlesbrough,Newcastle,2,2,D
Leeds,Watford,3,1,H
Liverpool,Leicester,0,2,A
Arsenal,Chelsea,2,1,H
Coventry,Sheffield Weds,4,1,H
Derby,Newcastle,0,0,D
Leicester,Bradford,3,0,H
Man United,Tottenham,3,1,H
Middlesbrough,Watford,1,1,D
Sunderland,West Ham,1,0,H
Wimbledon,Aston Villa,2,2,D
Liverpool,Southampton,0,0,D
Leeds,Everton,1,1,D
Arsenal,Sheffield Weds,3,3,D
Aston Villa,Man United,0,1,A
Bradford,Liverpool,1,0,H
Chelsea,Derby,4,0,H
Everton,Middlesbrough,0,2,A
Newcastle,Arsenal,4,2,H
Sheffield Weds,Leicester,4,0,H
Southampton,Wimbledon,2,0,H
Tottenham,Sunderland,3,1,H
Watford,Coventry,1,0,H
West Ham,Leeds,0,0,D
Charlton,Man City,4,0,H
Chelsea,West Ham,4,2,H
Coventry,Middlesbrough,1,3,A
Derby,Southampton,2,2,D
Leeds,Everton,2,0,H
Leicester,Aston Villa,0,0,D
Liverpool,Bradford,1,0,H
Sunderland,Arsenal,1,0,H
Tottenham,Ipswich,3,1,H
Man United,Newcastle,2,0,H
Arsenal,Liverpool,2,0,H
Bradford,Chelsea,2,0,H
Ipswich,Man United,1,1,D
Middlesbrough,Tottenham,1,1,D
Everton,Charlton,3,0,H
Man City,Sunderland,4,2,H
Newcastle,Derby,3,2,H
Southampton,Coventry,1,2,A
West Ham,Leicester,0,1,A
Arsenal,Charlton,5,3,H
Bradford,Leicester,0,0,D
Everton,Derby,2,2,D
Ipswich,Sunderland,1,0,H
Man City,Coventry,1,2,A
Middlesbrough,Leeds,1,2,A
Newcastle,Tottenham,2,0,H
Southampton,Liverpool,3,3,D
West Ham,Man United,2,2,D
Aston Villa,Chelsea,1,1,D
Leeds,Man City,1,2,A
Man United,Bradford,6,0,H
Sunderland,West Ham,1,1,D
Tottenham,Everton,3,2,H
Charlton,Southampton,1,1,D
Chelsea,Arsenal,2,2,D
Coventry,Newcastle,0,2,A
Derby,Middlesbrough,3,3,D
Leicester,Ipswich,2,1,H
Liverpool,Aston Villa,3,1,H
Bradford,Arsenal,1,1,D
Coventry,Leeds,0,0,D
Ipswich,Aston Villa,1,2,A
Leicester,Southampton,1,0,H
Liverpool,Man City,3,2,H
Man United,Sunderland,3,0,H
Middlesbrough,Everton,1,2,A
Newcastle,Chelsea,0,0,D
Derby,Charlton,2,2,D
Tottenham,West Ham,1,0,H
Arsenal,Coventry,2,1,H
Aston Villa,Bradford,2,0,H
Charlton,Tottenham,1,0,H
Everton,Man United,1,3,A
Leeds,Ipswich,1,2,A
Southampton,Newcastle,2,0,H
Sunderland,Derby,2,1,H
Chelsea,Leicester,0,2,A
Man City,Middlesbrough,1,1,D
West Ham,Liverpool,1,1,D
Bradford,Southampton,0,1,A
Coventry,West Ham,0,3,A
Derby,Leeds,1,1,D
Ipswich,Arsenal,1,1,D
Liverpool,Sunderland,1,1,D
Man United,Chelsea,3,3,D
Middlesbrough,Aston Villa,1,1,D
Newcastle,Charlton,0,1,A
Tottenham,Man City,0,0,D
Leicester,Everton,1,1,D
Aston Villa,Derby,4,1,H
Charlton,Coventry,2,2,D
Everton,Ipswich,0,3,A
Leeds,Tottenham,4,3,H
Man City,Newcastle,0,1,A
Southampton,Middlesbrough,1,3,A
West Ham,Bradford,1,1,D
Arsenal,Man United,1,0,H
Chelsea,Liverpool,3,0,H
Sunderland,Leicester,0,0,D
Arsenal,Aston Villa,1,0,H
Coventry,Tottenham,2,1,H
Everton,Southampton,1,1,D
Ipswich,West Ham,1,1,D
Leeds,Charlton,3,1,H
Leicester,Man United,0,3,A
Man City,Bradford,2,0,H
Sunderland,Chelsea,1,0,H
Derby,Liverpool,0,4,A
Middlesbrough,Newcastle,1,3,A
Bradford,Ipswich,0,2,A
