HomeTeam,AwayTeam,FTHG,FTAG,FTR
Liverpool,Aston Villa,2,1,H
Southampton,West Ham,0,2,A
Coventry,Arsenal,1,0,H
Everton,Southampton,1,0,H
Ipswich,Oldham,0,0,D
Leeds,Man City,3,2,H
Man United,Norwich,2,2,D
QPR,Aston Villa,2,2,D
Sheffield Weds,Liverpool,3,1,H
Swindon,Sheffield United,0,0,D
Tottenham,Newcastle,1,2,A
Wimbledon,West Ham,1,2,A
Blackburn,Chelsea,2,0,H
Arsenal,Tottenham,1,1,D
Oldham,Swindon,2,1,H
Sheffield United,Man United,0,3,A
Aston Villa,Sheffield Weds,2,2,D
Liverpool,QPR,3,2,H
Man City,Everton,1,0,H
Southampton,Ipswich,0,1,A
West Ham,Leeds,0,1,A
Aston Villa,Wimbledon,0,1,A
Chelsea,Ipswich,1,1,D
Liverpool,Swindon,2,2,D
Man City,Tottenham,0,2,A
Newcastle,Man United,1,1,D
Oldham,Blackburn,1,2,A
Sheffield United,Everton,0,0,D
Southampton,QPR,0,1,A
West Ham,Coventry,3,2,H
Arsenal,Sheffield Weds,1,0,H
Norwich,Leeds,2,1,H
Blackburn,Man City,2,0,H
Coventry,Oldham,1,1,D
Everton,Newcastle,0,2,A
Ipswich,Norwich,2,1,H
Leeds,Arsenal,2,1,H
Sheffield Weds,West Ham,5,0,H
Swindon,Southampton,2,1,H
Tottenham,Liverpool,3,3,D
Wimbledon,Sheffield United,2,0,H
Man United,Aston Villa,3,1,H
Newcastle,Leeds,1,1,D
Man United,Blackburn,1,1,D
Sheffield United,Liverpool,0,0,D
Wimbledon,Coventry,1,2,A
Everton,Sheffield Weds,0,2,A
Ipswich,West Ham,1,1,D
QPR,Oldham,2,0,H
Southampton,Chelsea,3,1,H
Swindon,Arsenal,0,4,A
Tottenham,Norwich,1,3,A
Chelsea,Newcastle,1,0,H
Liverpool,Wimbledon,1,1,D
Man City,Southampton,1,1,D
West Ham,Tottenham,1,3,A
Arsenal,Sheffield United,3,0,H
