team,player_code,player_name,position,photo_url,roster_source,portrait_source
Bayer Leverkusen,318534,Ernest Poku,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Ernest_Poku.png/250px-Ernest_Poku.png,2026/27 roster feed,Wikimedia Commons
Bayer Leverkusen,365357,Farid Alfa-Ruprecht,Forward,,2026/27 roster feed,Unavailable
Bayer Leverkusen,391034,Kerim Alajbegovic,Forward,,2026/27 roster feed,Unavailable
Bayer Leverkusen,241662,Martin Terrier,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/20191002_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0291.jpg/250px-20191002_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0291.jpg,2026/27 roster feed,Wikimedia Commons
Bayer Leverkusen,263134,Nathan Tella,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Nathan-Tella-2025.jpg/250px-Nathan-Tella-2025.jpg,2026/27 roster feed,Wikimedia Commons
Bayer Leverkusen,404386,Ndjicoura Bomba,Forward,,2026/27 roster feed,Unavailable
Bayer Leverkusen,212330,Patrik Schick,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3672_by_Stepro.jpg/250px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3672_by_Stepro.jpg,2026/27 roster feed,Wikimedia Commons
Bayer Leverkusen,287276,Victor Boniface,Forward,,2026/27 roster feed,Unavailable
Bayer Leverkusen,161825,Janis Blaswich,Goalkeeper,,2026/27 roster feed,Unavailable
Bayer Leverkusen,415131,Jesper Schlich,Goalkeeper,,2025/26 squad carryover,Unavailable
