season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,87893,Bruno,0,5.0,2.0,34.0,33.0,0.0,0.0
2016-17,101989,Bruno Gama,0,0.0,0.0,23.0,19.0,0.0,0.0
2016-17,186881,Burgui,0,2.0,4.0,32.0,21.0,0.0,0.0
2016-17,219165,Buñuel,0,0.0,0.0,15.0,10.0,0.0,0.0
2016-17,240353,Caio Henrique,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,233802,Carles Aleñá,0,0.0,0.0,3.0,0.0,0.0,0.0
2016-17,152168,Carles Gil,0,1.0,4.0,23.0,16.0,0.0,0.0
2016-17,150793,Carles Planas,0,0.0,0.0,12.0,11.0,0.0,0.0
2016-17,45978,Carlos Carmona,0,8.0,2.0,25.0,21.0,0.0,0.0
2016-17,209600,Carlos Castro,0,4.0,1.0,25.0,10.0,0.0,0.0
2016-17,168363,Carlos Clerc,0,1.0,0.0,25.0,22.0,0.0,0.0
2016-17,197906,Carlos Fernández,0,1.0,0.0,3.0,1.0,0.0,0.0
2016-17,21731,Carlos Kameni,0,0.0,0.0,35.0,35.0,0.0,0.0
2016-17,99503,Carlos Martínez,0,0.0,2.0,10.0,10.0,0.0,0.0
2016-17,235072,Carlos Soler,0,3.0,1.0,23.0,19.0,0.0,0.0
2016-17,76098,Carlos Vela,0,9.0,2.0,35.0,31.0,0.0,0.0
2016-17,198721,Carlos Vigaray,0,0.0,3.0,19.0,10.0,0.0,0.0
2016-17,239387,Caro,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,173666,Casemiro,0,4.0,0.0,25.0,20.0,0.0,0.0
2016-17,183102,Celso Borges,0,6.0,0.0,34.0,30.0,0.0,0.0
2016-17,150794,Charles,0,3.0,1.0,21.0,11.0,0.0,0.0
2016-17,46423,Chory Castro,0,1.0,3.0,29.0,21.0,0.0,0.0
2016-17,136952,Christian Santos,0,3.0,1.0,21.0,8.0,0.0,0.0
2016-17,96527,Claudio Beauvue,0,1.0,2.0,13.0,5.0,0.0,0.0
2016-17,193917,Clément Lenglet,0,0.0,0.0,17.0,15.0,0.0,0.0
2016-17,240866,Cristian,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,222957,Cristian Rivera,0,0.0,0.0,17.0,6.0,0.0,0.0
